model,metric,mean,ci95_low,ci95_high,bootstrap_rounds
Decision Tree,f1,0.25872184206790644,0.25343203494165384,0.26461689351656553,50
Decision Tree,roc_auc,0.8113608144404608,0.8046552094683086,0.8177810115743914,50
Decision Tree,pr_auc,0.2540695508422359,0.24429139758090876,0.2642875244084861,50
LightGBM,f1,0.2987332822214984,0.2919294379465094,0.3056690845103228,50
LightGBM,roc_auc,0.8041211584983773,0.8007692383818356,0.8097867995298872,50
LightGBM,pr_auc,0.2222249769269684,0.21533030249091425,0.22874739087734214,50
Logistic Regression,f1,0.2562415992704614,0.25034041585618744,0.2614561201242452,50
Logistic Regression,roc_auc,0.8098684773595811,0.804821355829248,0.8144900646194332,50
Logistic Regression,pr_auc,0.24992871223650723,0.23954824435040598,0.2580686854034673,50
Random Forest,f1,0.2593543022127653,0.2547985482432465,0.2647880845810848,50
Random Forest,roc_auc,0.8157585698375937,0.8107795660855609,0.8216306974619753,50
Random Forest,pr_auc,0.2553261021323412,0.24794866501071997,0.26804347110231913,50
XGBoost,f1,0.269095934209076,0.2628945065968682,0.27521795377793307,50
XGBoost,roc_auc,0.8075713085568579,0.8032009759181307,0.8118791041849256,50
XGBoost,pr_auc,0.24771098214781864,0.23759335302269252,0.25699865858687276,50
