model,k,precision_at_k,recall_at_k,users_with_positive_in_topk,covered_positive_items
XGBoost,5,0.2469337200169174,0.30152718687750535,0.5249,12261
Random Forest,5,0.2450204418665539,0.29919091065587883,0.5208,12166
Decision Tree,5,0.24399331359635873,0.2979366992105846,0.5215,12115
Logistic Regression,5,0.2401063379856202,0.29319036962349065,0.5157,11922
LightGBM,5,0.2364610396149276,0.2887391486117601,0.5114,11741
XGBoost,10,0.19663336273926513,0.4714113567616752,0.5654,19169
Random Forest,10,0.19653078390743287,0.4711654329488724,0.5655,19159
Decision Tree,10,0.19437662843895534,0.46600103288001377,0.5635,18949
Logistic Regression,10,0.19086843239029194,0.45759043848215825,0.5608,18607
LightGBM,10,0.1899554807869848,0.4554017165482134,0.5588,18518
Random Forest,20,0.14745134483839245,0.671126085138824,0.5862,27290
XGBoost,20,0.14737029792844097,0.6707571994196198,0.5859,27275
Decision Tree,20,0.145727747220091,0.6632811155104149,0.5841,26971
Logistic Regression,20,0.14536573768897437,0.6616334259646361,0.5859,26904
LightGBM,20,0.14454986546212947,0.6579199763913139,0.5844,26753
